district_name,school_prefix_number,phone
PreEminent Charter School,92M,919.235.0511
Quality Education Academy,34B,336.744.0804
Queen City STEM School,61N,980.299.6633
Queen's Grant Community School,60G,704.573.6611
Quest Academy,92N,919.841.0441
Raleigh Charter High School,92K,919.715.1155
Raleigh Oak Charter School,93R,919.424.7626
Reaching All Minds Academy,32Q,919.596.1899
Research Triangle Charter Academy,32H,919.957.7108
Research Triangle High School,32N,919.998.6757
River Mill Academy,01B,336.229.0909
"Rocky Mount Preparatory School, Inc.",64A,252.443.9923
Rolesville Charter Academy,93P,919.263.1422
"Roxboro Community School, Inc.",73B,336.597.0020
Sallie B Howard School for the Arts and Education,98A,252.293.4150
Sandhills Theatre Arts Renaissance School,63B,910.695.1004
Shining Rock Classical Academy: CFA,44A,828.476.5150
Socrates Academy,60J,704.321.1711
South Brunswick Charter School,10B,910.338.4178
Southeastern Academy,78B,910.738.7828
Southern Wake Academy,92P,919.567.9955
Sterling Montessori Academy,92E,919.462.8889
Stewart Creek High School,61L,704.755.5112
Success Charter School,49D,704.881.0441
Sugar Creek Charter,60B,704.509.5470
Summerfield Charter Academy,41J,336.643.1974
Summit Charter School,50A,828.743.5755
The Academy of Moore County,63A,910.757.0401
The Arts Based School,34G,336.748.4116
The Capitol Encore Academy,26C,910.849.0888
The Children's Village Academy,54A,252.939.1958
The College Preparatory and Leadership Academy of High Point,41H,336.884.0131
The Expedition School,68C,919.245.8432
The Experiential School of Greensboro,41N,336.890.8374
The Exploris School,92B,919.715.3690
The Franklin School of Innovation,11D,828.318.8143
The Hawbridge School,01D,336.376.1122
The Institute for the Development of Young Leaders,32P,919.973.4178
The Learning Center,20A,828.835.7240
The Magellan Charter School,92D,919.844.0277
The Mountain Community Sch,45A,828.696.8480
The New Dimensions School,12A,828.437.5753
Thomas Academy,24B,910.646.2237
Thomas Jefferson Classical Academy: A Challenge Foundation A,81A,828.657.9998
Three Rivers Academy,08A,252.484.4019
Tiller School,16B,252.728.1995
Torchlight Academy,92L,919.850.9960
Triad Math and Science Academy,41F,336.621.0061
Triangle Math and Science Academy,92T,919.388.0077
Two Rivers Community School,95A,828.262.5411
Union Academy Charter School,90A,704.238.8883
Union Day School,90B,704.256.1494
Union Preparatory Academy at Indian Trail,90C,704.893.3607
United Community School,61K,980.819.0555
Unity Classical Charter School,61S,980.202.5899
UpROAR Leadership Academy,61U,980.585.3722
Uwharrie Charter Academy,76A,336.610.0813
VERITAS Community School: A Challenge Foundation Academy,61P,980.677.0101
Vance Charter School,91A,252.431.0440
Voyager Academy,32L,919.433.3301
Wake Forest Charter Academy,92V,919.263.8673
Washington Montessori Public Charter School,07A,252.946.1977
Water's Edge Village School,27A,252.453.4502
Wayne Preparatory Academy,96F,919.734.8085
Willow Oak Montessori,19C,919.240.7787
Wilmington Preparatory Academy,65B,910.799.6776
Wilson Preparatory Academy,98B,252.294.2533
Winterville Charter Academy,74C,252.689.6153
Woods Charter,19B,919.960.8353
Youngsville Academy,35B,919.556.3609
Z.E.C.A. School of Arts and Technology,67B,910.219.8603
